"id","author","cover_url","description","details","featured","price","published_year","title"
"42","Paulo Coelho","/images/alchemist.jpg","A fable about following your dreams.","Santiago’s journey teaches about destiny and personal legend.","True","10.99","1988","The Alchemist"
"43","Haruki Murakami","/images/norwegian_wood.jpg","A nostalgic story of love and loss.","Set in 1960s Tokyo, exploring memory and melancholy.","False","11.49","1987","Norwegian Wood"
"44","Haruki Murakami","/images/windup_bird.jpg","A labyrinthine novel of mystery.","Tormented by disappearance and strange encounters.","False","13.49","1994","The Wind-Up Bird Chronicle"
"45","Rohinton Mistry","/images/fine_balance.jpg","A story of four strangers in India.","Explores poverty, politics, and resilience.","False","12.49","1995","A Fine Balance"
"46","Salman Rushdie","/images/satanic_verses.jpg","A controversial magical realism novel.","Explores identity, religion, and migration.","False","12.99","1988","The Satanic Verses"
"47","Yann Martel","/images/life_pi.jpg","A boy stranded with a tiger.","Explores survival, faith, and storytelling.","False","9.99","2001","Life of Pi"
"48","J.R.R. Tolkien","/images/hobbit.jpg","Fantasy adventure of Bilbo Baggins.","Bilbo joins dwarves on a quest.","True","10.49","1937","The Hobbit"
"49","J.R.R. Tolkien","/images/lotr.jpg","Epic fantasy trilogy.","Frodo’s journey to destroy the One Ring.","True","14.99","1954","The Lord of the Rings"
"50","J.R.R. Tolkien","/images/silmarillion.jpg","Mythic tales of Middle-earth.","Explores creation and ancient wars.","False","12.99","1977","The Silmarillion"
"51","C.S. Lewis","/images/narnia.jpg","Fantasy series for children.","Adventures in the magical land of Narnia.","False","9.99","1950","The Chronicles of Narnia"
"52","Suzanne Collins","/images/hunger_games.jpg","Dystopian survival competition.","Katniss Everdeen fights in the deadly games.","True","8.99","2008","The Hunger Games"
"53","Suzanne Collins","/images/catching_fire.jpg","Sequel to The Hunger Games.","Katniss faces rebellion and new challenges.","False","9.49","2009","Catching Fire"
"54","Suzanne Collins","/images/mockingjay.jpg","Final book of the trilogy.","Katniss leads the revolution against the Capitol.","False","9.99","2010","Mockingjay"
"55","J.K. Rowling","/images/hp_stone.jpg","The first Harry Potter novel.","Harry discovers he is a wizard.","True","8.99","1997","Harry Potter and the Philosopher's Stone"
"56","J.K. Rowling","/images/hp_chamber.jpg","Second year at Hogwarts.","Harry faces the mystery of the Chamber.","False","9.49","1998","Harry Potter and the Chamber of Secrets"
"57","J.K. Rowling","/images/hp_order.jpg","Fifth year at Hogwarts.","Harry battles the Ministry and Voldemort’s rise.","False","10.99","2003","Harry Potter and the Order of the Phoenix"
"58","J.K. Rowling","/images/hp_prince.jpg","Sixth year at Hogwarts.","Harry uncovers Voldemort’s past.","False","11.49","2005","Harry Potter and the Half-Blood Prince"
"59","Stephenie Meyer","/images/new_moon.jpg","Second book in the Twilight Saga.","Bella faces heartbreak and new dangers after Edward leaves.","False","9.49","2006","New Moon"
"60","Stephenie Meyer","/images/eclipse.jpg","Third book in the Twilight Saga.","Bella must choose between Edward and Jacob as danger looms.","False","9.99","2007","Eclipse"
"61","Stephenie Meyer","/images/breaking_dawn.jpg","Final book in the Twilight Saga.","Bella and Edward’s marriage brings new challenges and battles.","True","10.49","2008","Breaking Dawn"
"62","Veronica Roth","/images/divergent.jpg","A dystopian novel of factions and identity.","Tris Prior discovers she is Divergent and must fight for survival.","True","8.99","2011","Divergent"
"63","Veronica Roth","/images/insurgent.jpg","Sequel to Divergent.","Tris and Four face rebellion and betrayal.","False","9.49","2012","Insurgent"
"64","Veronica Roth","/images/allegiant.jpg","Final book in the trilogy.","Tris uncovers shocking truths about her world.","False","9.99","2013","Allegiant"
"65","Stephenie Meyer","/images/twilight.jpg","A vampire romance novel.","Bella Swan falls in love with Edward Cullen.","False","8.99","2005","Twilight"
"66","Dan Brown","/images/angels_demons.jpg","Thriller set in Vatican City.","Langdon races to stop a secret society threatening the Church.","False","9.99","2000","Angels & Demons"
"67","Dan Brown","/images/inferno.jpg","Thriller inspired by Dante’s Inferno.","Langdon uncovers a plot involving a deadly virus.","False","10.49","2013","Inferno"
"68","Dan Brown","/images/origin.jpg","Thriller about science and religion.","Langdon investigates the future of humanity and faith.","False","11.49","2017","Origin"
"69","Stieg Larsson","/images/played_fire.jpg","Sequel to Dragon Tattoo.","Lisbeth Salander is accused of murder and fights to clear her name.","False","11.49","2006","The Girl Who Played with Fire"
"70","Stieg Larsson","/images/hornets_nest.jpg","Final book in the trilogy.","Lisbeth battles powerful enemies in court and beyond.","False","11.99","2007","The Girl Who Kicked the Hornet's Nest"
"71","Gillian Flynn","/images/sharp_objects.jpg","Dark thriller about family secrets.","Reporter Camille investigates murders in her hometown.","False","9.99","2006","Sharp Objects"
"72","Gillian Flynn","/images/dark_places.jpg","A novel about trauma and mystery.","Libby Day revisits her family’s murder case.","False","9.49","2009","Dark Places"
